Jack, jfinch@gmail.com, 5754443210, Silver, 
Maggie, ms5789@yahoo.com, 4026673312, Bronze, 
Patrick, patlam@gmail.com, 7323435656, Silver, 
Robert, wishybob@gmail.com, 2066573412, Bronze, 
Terry, terryj@caper.com, 6314478989, Silver, 
Mary, mp3@yahoo.com, 4046873312, Diamond, 
Frank, frankly@gmail.com, 4083437863, Gold, 
Rick, Dcurator@live.com, 4156578812, Bronze, 
Peter, peter@connor.com, 2304463250, Gold, 
Claire, clairerules@live.com, 2317866312, Bronze, 
Johan, joclaus@gmail.com, 3393433419, Diamond, 
Vijay, dreamcatcher@gmail.com, 6156574664, Bronze, 
William, bolts4ever@gmail.com, 8154479963, Silver, 
Owen, ogarcia@petsmart.com, 2395216844, Diamond, 
Kim, kimhatz@gmail.com, 4085567887, Diamond, 
Jasper, gumbolover@live.com, 3326575390, Gold, 
